content,product_name
Lumayan.. lebih murah dari tempat lain..,Kabel LAN UTP 30M RJ45 Cat 5e Cable 30 Meter terpasang konektor cat5e
Respon cepat sangat. Thanks,Switch HUB TP LINK 5 Port TL-SF1005D 10/100Mbps Network Lan Internet
"Produk sesuai deskripsi, pengiriman cepat",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"Barang sesuai dengan yg dipesan, berfungsi dengan baik, dan harga jg terjangkau. mantap pokoknya.","USB 2.0 Type A to Mini B 5-Pin Cable Data for Canon DSLR/Printer 1,5M"
"Seperti biasa, sesuai pesanan, barang ori, top seller.",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
bagus........................ ni..........,Deep Cool N17 Laptop Cooling Pad Fan Coolingpad Notebook Deepcool
The best seller....tanx,Tenda N301 3 in 1 Wireless ROUTER+Access Point+EXTENDER WIFI 301 AP
good. lumayan dengan harga segini. thanks gan,Gamepad Double Mtech/Joystick/Gamepad Double Hitam M-Tech/Pc Laptop
barang mantap kualitas ok dan sesuai pesanan,Keyboard Acer Aspire E14 ES1-422 E5-422 E5-432 ES1-420 E5-473 E5-422G
Cakeeeeeeepppp .......,"Keyboard Laptop Asus A450L, A450LA, A450LB, A450LC, A450LD, A450LF"
"Pengemasan rapi &amp; aman, order jumat senin sampai. Bisa digunakan di laptop Dell latitude &amp; samsung S9 (fast chg). Semoga awet.",Adaptor Charger Original ASUS Zenbook UX370 UX370U 65W USB Type C
"Cepat sampai dan sesuai iklan, terima kasih",USB HUB 3.0 7 port by DIGIGEAR HIGH SPEED 1.2 meter
barang bagus... sesuai dg pesanan,"Keyboard Laptop Asus Eee PC 1025, 1025C, 1025CE, EeePC Flare Hitam"
Order jam 4 sore. Sampe jam 8 malem by go send. Respon cepat syekaleh. Warbiasyah. Dan berfungsi dengan sangat baik. Makasiihh,Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
Bagus. Kiriman cepaàaaaaaaaaaaaaaaaat,USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
Mantap bagus sesuai dan tepat waktu pengiriman,USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
cepat respon cepat kirim dan barang tepat sesuai harapan....sudah di coba dan bisa lgs digunakan...sukses sll ya....mantap,Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
Blm ditest......................,PSU Power Supply Pure copotan pc build up
"Okee..........
Terima kasih............",TINTA / CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%
"Barang bagus, cepat sampai, recommended!",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
Brg sdh diterima mudah2an awet.,Switch HUB TP LINK 5 Port TL-SF1005D 10/100Mbps Network Lan Internet
terimakasih untuk barang dan pengiriman sangat puas,Tenda F3 Wireless Router+Extender+Access Point WIFI REPEATER NEW FH303
"mengecewakan, tidak sesuai deskripsi, tidak compatible dengan usb 3.0",USB HUB 3.0 7 port by DIGIGEAR HIGH SPEED 1.2 meter
"Sesuai gambar,berfungsi normal,packing baik,",Tenda N301 3 in 1 Wireless ROUTER+Access Point+EXTENDER WIFI 301 AP
Respon dan pengiriman super cepet. Produknya jg oke. Trims banyak yaa..,USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
"Sory lama ulasannya soalnya tokped error mulu, barang udah diterima dan ok, udh include batre pula",Mouse wireless / Bluetooth Airmouse Alcatroz by Powerlogic Resmi murah
"Pengiriman cepat,,, packingan bagus.. thanks ...",Logitech Z213 Multimedia Speaker
Lampunya keterangan wkwk,USB HUB 3.0 7 port by DIGIGEAR HIGH SPEED 1.2 meter
"Terimakasih,,.........................",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"Fast respon, good product",Gamepad Double Mtech/Joystick/Gamepad Double Hitam M-Tech/Pc Laptop
Pengiriman cepat sampai tqs gan,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
Biar bintang yg berbicara,Kabel Data untuk Harddisk Eksternal USB 3.0
"Barang bagus,pengiriman sehari sampai good seller",Gamepad Double Mtech/Joystick/Gamepad Double Hitam M-Tech/Pc Laptop
Ok lumayan kualitas sesuai harga,Mouse wireless / Bluetooth Airmouse Alcatroz by Powerlogic Resmi murah
Barang aman dan oke mksh gan,Keyboard ASUS X45 X45A X45U X45VD X45C
Barang sesuai dengan pesanan Dan pengiriman tidak lama. Thanx gan,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
Mantap gan pertahan kan...,CATRIDGE CANON PG 47 BLACK ORIGINAL 100%
Thanks..................,LCD LED 10.1&#34; Slim Acer Aspire One Happy Happy2 D255 D257 D260 D270
"Pengiriman cepat , produk sesuai deskripsi",Lan Tester Alat Penguji Kabel Lan RJ45 RJ11
"barang sesuai pesanan, proses lama",Switch HUB TP LINK 5 Port TL-SF1005D 10/100Mbps Network Lan Internet
"bagus, original. Sesuai pesananan.",TINTA / CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%
tinta original dan berfungsi dengan baik,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
Respon cepat dan kabel berfungsi baik,Kabel LAN UTP 30M RJ45 Cat 5e Cable 30 Meter terpasang konektor cat5e
"Packing baik,  barang berfungsi dengan baik... Pengiriman agak lamban.  All oke lah...",Adaptor Charger Laptop Acer Aspire 4739 4738 4741 4750 4736 4752 4740
Modelnya yg small.. kirain large.. tp lumayan lah. Hrga sesuai,Mouse wireless / Bluetooth Airmouse Alcatroz by Powerlogic Resmi murah
"Mantap, kualitas boleh diadu",Original Baterai Laptop SONY VAIO 14E 15E VGP-BPS35 VGP-BPS35A
pemesanan diproses sexepat kilat,Baterai Original DELL Inspiron 14V 14VR N4020 N4020D N4030 N4030D
Tidak mengecewakan... 👍🏻👍🏻👍🏻👍🏻,HP Ink Cartridge 678 Black / Tinta HP 678 hitam / HP 678 BK Original
"Bagus, cepat sampai, sesuai",Alfalink EI 16 S - Kamus Elektronik
okkkkkk..... brgnya sdh sampe.. top dah,"Baterai Axioo Neon RNW, CNW, MNW, Zyrex Sky LM, C4500BAT-6, C4500"
"barang ok, working well",ADAPTOR TP-LINK 12V - 1A
Seep cpet smpee sesuai gmbar,Tenda F9 WALL KILLER ROUTER 600 Wireless AP Access Point Repeater Wifi
"Recommended seller, pertahakan..",HP Ink Cartridge 678 Black / Tinta HP 678 hitam / HP 678 BK Original
Kualitas sesuai harga..  Makasih ya..,KABEL LAN 20M CAT 5 / KABEL UTP 20 METER PABRIKAN HIGH QUALITY
"pagi trf, siang diterima...brg blm dicoba, mudah2n ok",TP-LINK TL-WR 840N 300MBps Wireless Router
Good banget deh barangnya,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"Barang sudah di terima, terimakasih",Mouse wireless / Bluetooth Airmouse Alcatroz by Powerlogic Resmi murah
"barang sampai tujuan, dan berfungsi sesuai harapan",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
"Seller fast respon, recomended pokoknya.................",Alfalink EI 428 - Kamus Elektronik Electronic Dictionary ei-428
"Produk bekerja dgn baik, recommended!!!",Alfalink EI 16 S - Kamus Elektronik
Sudah sampai dengan selamat,TP-LINK TL-WR 840N 300MBps Wireless Router
barang sesuai deskripsi..pengiriman same day cepat...aman..,USB 2.0 Type A to Mini B 5-Pin Cable Data for Canon EOS DSLR / Printer
"Respon dan pengiriman baik dan cepat. Utk mousenya saya dapat yg warna putih, memang tidak pesan warna sih sebelumnya. Bahan plastiknya memang terkesan tipis, kurang kokoh dan murah, apalagi dibanding dgn logitech m280 yg saya pakai sebelumnya. Tapi wajar krn harganya yg bahkan gak sampai setengahnya. Bobotnya pun ringan banget membuat feelnya jd aneh, mungkin krn belum terbiasa. Tapi akurasi mousenya bagus kok, sementara belum terasa bedanya dgn m280, semoga juga bisa awet. Dan terima kasih",Mouse wireless / Bluetooth Airmouse Alcatroz by Powerlogic Resmi murah
mantaaaaaaaaaaaaaaaaaaaaaaaaaappp,Keyboard Lenovo G400S G400AS G405A Z410 Touch G410S G405S S410P
ada cd drivernya mudah diinstal..berfungsi dengan baik..,TP-LINK TL-WN821N 300Mbps Wireless N USB Adapter
barang bagus.. wharbisyah..,Hardisk Laptop 2.5&#39; Seagate 500GB Original
trima kasih sdh saya trima dlm keadaan baik,HP Ink Cartridge 678 Black / Tinta HP 678 hitam / HP 678 BK Original
"barang cepat sampai ,Tp Belom dipakai  jadi Blom bisa Komen untuk kualitas",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
mantappp ini toko ......  mantappppp,Konektor RJ45 AMP / Connector RJ 45 AMP Per Pack Isi 50pcs
"Brg berfungsi dgn baik, hanya saja terkadang touchpad tidak berfungsi kalau charging. Overall tp fungsional dan sangat membantu.",Adaptor Charger Apple Macbook Magsafe 1 60 Watt Original
Barang sesuai deskripsi. Respon toko dan pengirimannya juga cepat. Maaf baru bisa kasih ulasannya sekarang.,TP-LINK TL-WN821N 300Mbps Wireless N USB Adapter
ORI dan berfungsi dengan baik,Baterai Original Toshiba Portege T210 T215 T230 T235 PA3820
"Barang cepat sampai.
Kualitas bagus.
sukses selalu.
tq banget.",Alfalink EI 212 - Kamus Elektronik
Terima brg sudah sampai.. fast respon rekomended seller.. thx gan,TP-LINK TL-SF1008D : TPLink 8 Port 10/100Mbps Desktop Switch Hub
Okeeeeeeereeerrrrreee,KABEL USB MALE FEMALE 10M / PERPANJANGAN USB / USB EXTENDER EXTENTION
"paking ok, sesuai pesanan",keyboard laptop HP ProBook 4330 4331s 4430s 4431s 4435s 4436s-ORIGINAL
fast respond...recommended seller,TINTA CANON GI - 790 BLACK / CYAN / MAGENTA / YELLOW ORIGINAL 100% - Kuning
Mantab produk sesuai deskripsi,Konektor RJ45 AMP / Connector RJ 45 AMP Per Pack Isi 50pcs
"thanks...
pengiriman cepat",KABEL LAN 15M CAT 5E / KABEL UTP 15 METER PABRIKAN
Produk sesuai dan packing rapih,TINTA EPSON 774 BLACK / T7741 ORIGINAL 100%
barang sudah diterima.. pengiriman cepat.. thx bos..,RIBBON FILM PANASONIC IF 93A 60METER ORIGINAL 100%
Trimakasih dan berfungsi dengan sempurna,Range Extender/ Repeater TENDA A9 A301 Penguat Signal Wifi OEM TPLINK
thx gan map kelamaan baru balik soalnya jadi baru liat barang thx ya,Switch HUB TP LINK 5 Port TL-SF1005D 10/100Mbps Network Lan Internet
"psanan sudah diterima dengan baik, terima kasih",Crimping Tool RJ45 RJ11 Tang Krimping Tools RJ 45
agak beda dikit secara casing dari bawaan asli.. tapi overal berfungsi baik..,Adaptor Charger Original Lenovo T410 T410s T500 T510 R400 R500 T400
Barang sesuai pesanan smoga awet gan,Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
Kabel berfungsi dengan baik,Kabel LAN UTP 30M RJ45 Cat 5e Cable 30 Meter terpasang konektor cat5e
Barang dikirim sesuai pesanan,Fast Drying Contact Cleaner WD40 WD 40 200ml 200 ml elektronik Special
bagussssssssssssssss,Switch HUB TP LINK 5 Port TL-SF1005D 10/100Mbps Network Lan Internet
"Produk baik, Packing Rapih Sesuai Deskripsi ..",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
Sudah diterima dan berfungsi dengan baik. Thanks,TP-LINK TL-WR 840N 300MBps Wireless Router
recommended seller..,TINTA / CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%
"Langsung colok, langsung main haha",Gamepad Double Mtech/Joystick/Gamepad Double Hitam M-Tech/Pc Laptop
"thanks bos, barangnya bagus sesuai",USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
"Berfungsi baik ,terima kasih",LAYAR LCD LED 14.0 slim Laptop Asus X450J X450JF X450CA X450C X450CC
Stik nya brfungsi dgn baik. Trmksh,Gamepad Double Mtech/Joystick/Gamepad Double Hitam M-Tech/Pc Laptop
"Respon cepat, barang tiba dgn cepat. Thanks",TINTA / CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%
"Fast respond, packing rapih dan pengiriman cepat :)","[SONIC GEAR] NEW TITAN 5 BTMI Multimedia Speaker FM Radio, USB, Memory"
"Bagus, barang sesuai gambar","Keyboard Laptop ASUS X453, X453M, X453MA, X453S, X453SA"
pemesanan diproses secwpat kilat,Adaptor Charger Original Asus X441S ~19V 1.75A
thansk gan barang sudah diterima,Baterai Original Lenovo G40-50 G40-70 G40-30 G40-45 G50-30 G50-45 G40
mantap gan. kalau bisa harga diskonin dikit hehehe terima kasih gan,Mouse wireless / Bluetooth Airmouse Alcatroz by Powerlogic Resmi murah
"Sesuai lah, semog awet deh","Adaptor Charger Laptop IBM Lenovo ThinkPad X220, X220S, X230, X230S"
Sesuai gambar kualitas bagus,Tenda N301 3 in 1 Wireless ROUTER+Access Point+EXTENDER WIFI 301 AP
Barang sudah sampai dan langsung saya pasang berfungsi dengan baik .. fast respon .. pengiriman cepat.. recommended seller .. thanks,TINTA / CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%
barang berfungsi dengan baik dan tidak mengecewakan :),USB HUB 3.0 7 port by DIGIGEAR HIGH SPEED 1.2 meter
Fast respon Pancking bagus,Tenda F3 Wireless Router+Extender+Access Point WIFI REPEATER NEW FH303
udah diterima barang nya...cuman belum dicoba.semoga Awet.thx,Gamepad Double Mtech/Joystick/Gamepad Double Hitam M-Tech/Pc Laptop
"Pengiriman cepat, barang berfungsi, harga sesuai (ternyata ada yang lebih murah)",Baterai Toshiba Satellite C640 C645 L635 L640 L645 L735 L745
"Packing Kurang rapih, terus gk dapet tas mini untuk mouse nya juga",mouse gaming wireless rexus avenger RX-110 - Hitam
"Proses sangat cepat, produk sampai dengan selamat.",TINTA EPSON 774 BLACK / T7741 ORIGINAL 100%
pengiriman cepat dan chargernya berfungsi dengan baik. mudah-mudahan awet.,Adaptor Charger Tablet Microsoft Window Surface Pro 3 / Pro 4 12v 2.58
barang sudah sampai dan berfungsi dengan baik gan,Mouse wireless / Bluetooth Airmouse Alcatroz by Powerlogic Resmi murah
Respon cepat.sudah baik..keep it up!!,Baterai Original DELL Inspiron 13Z 14Z N311Z N411Z Latitude 3330
"barang cepat sampai rumah. langsung di test lancar jaya. kondisi mulus sesuai dengan deskripsi.
packaging karena pake go send cuma pakai plastik tebal tapi gpp karena ga jauh juga . overall 5/5",Gamepad Double Mtech/Joystick/Gamepad Double Hitam M-Tech/Pc Laptop
"Brg udh smpai, terimakasih kerjasamanya om. 👍👍👌",HDMI TO VGA CONVERTER
"Puas bgt, seller fast respon, barang jg ok",Adaptor Charger Original Asus X441S ~19V 1.75A
barangnya sudah sampai.. makasi..,USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
"Penuh Bintang... Heheh.. Barang berfungsi normal, pengiriman ok. Jangkauan extender luas dari lt.2 ke lt. 1 di tempat saya, asal penempatannya strategis.",Range Extender/ Repeater TENDA A9 A301 Penguat Signal Wifi OEM TPLINK
"bagus tapi barang dikirim tanpa bubble wrap, cuma dibungkus plastik yang menurut saya kurang safe buat barangnya:(",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"Sesuai deskripsi, bekerja dengan baik, dan packing rapi",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
Barang mantap. Terimakasih.,Keyboard Laptop Asus X401U X401A X401 series - Hitam
"Paket tinta print super capat sampe , barang Ori sama kaya Gramed , harga miring , thanks JNE,  TOPED.",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
respon cepat kiriman kilat. terima kasih,HP Ink Cartridge 678 Black / Tinta HP 678 hitam / HP 678 BK Original
barang kualitas ori dan terpercaya,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"Kualitas bagus, tombol agak keras, pengiriman agak lama, overall bagus",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
"Barang bagus, sesuai. Pengiriman cepat.",Gamepad Double Mtech/Joystick/Gamepad Double Hitam M-Tech/Pc Laptop
"Barang dikirim dengan cepat dan selamat, selain itu berfungsi dengan baik.",Adaptor Charger Original Asus A456 A456U~19V 3.42A &#40;4.0mm*1.35mm&#41;
"Good service,packing, and quality",SanDisk Cruzer Blade 16GB flasdisk flasdisc flasdish flasdis flasdrive
"recomended seller! fast respon, packing rapi dan sesuai pesanan. thanks gan kapan"" ane order lagi.",Gamepad Double Mtech/Joystick/Gamepad Double Hitam M-Tech/Pc Laptop
barang oke gan...................thanks ya..........................,Alfalink EI 428 - Kamus Elektronik Electronic Dictionary ei-428
"Barang sudah diterima dengan baik, pelayanan sangat cepat n ramah",TP-LINK TL-SF1024D 24-Port 10/100M TPLINK Switch Hub 24Port 24 Port
mantapppp pengirimannya super cepat.. utk produk belum d coba,USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
"Buat maen game ,ngedit2 makin oke tambah ram ini",Sodim RAM 8GB DDR4 2Rx8 PC4-2400P-SE0-10 Original
Barang sesuai ekspektasi,Tenda N301 3 in 1 Wireless ROUTER+Access Point+EXTENDER WIFI 301 AP
Barang sesuai pesanan terima kasih,USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
"Barang sampai dgn selamat,dan sesuai dgn gambar. Thanks ya gan",USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
Terima kasih untuk fast response nya,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
order sudah 7pcs dan selalu memuaskan,TP-LINK TL-WR 840N 300MBps Wireless Router
mantaaaaaaaaaaaaaaaaaaaaaaaaaaapppppppppp,LAYAR LCD LED 14.0 slim Laptop Asus X450J X450JF X450CA X450C X450CC
"Produk persis dengan yang di gambar. 
Pengiriman cepat. 
Seller juga fast response. 
Recommendedlah.
Sukses terus gan",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
"MAntapppppp
Gooooooooodddddddd",Keyboard Asus Eee PC 1215 1215B 1215N 1215P 1225B 1225C Series -Putih
Packing aman dan rapi... 👍👍,Baterai Original ASUS X453 X453M X453MA X453S X453SA X553 X553M X553MA
Sudah sampai gan tinggal dicoba terimakasih,Tenda F9 WALL KILLER ROUTER 600 Wireless AP Access Point Repeater Wifi
odol mint untuk pc. segar sekali,DEEP COOL Z9 Thermal Compound Grease Paste ORIGINAL DEEPCOOL
Voltase sama 20v. Tapi amperenya beda (lebih kecil dari yg ada di foto/keterangannya). Yg di foto 4 ampere... Yg di kirim 3 ampere...,Adaptor Charger Original Lenovo T410 T410s T500 T510 R400 R500 T400
"Pengiriman Cepat, Seller Ramah, tks.. 👍",TP-LINK TL-SF1008D : TPLink 8 Port 10/100Mbps Desktop Switch Hub
"Terima kasih agan, barang pesanan saya sudah diterima dengan baik.",KABEL MICRO VIVAN XM100 FASTCHARGE 1M&amp;0.3M Bagikan : VIVAN ABU
produk bagus dan pengiriman cepat,Switch HUB TP LINK 5 Port TL-SF1005D 10/100Mbps Network Lan Internet
"Baterai sesuai deskripsi. Versi 6 Cell, tapi yasudahlah yang penting 29+. Seperti baru, laporan baterai sehat tetapi saya masih belum tahu berapa lama tahannya.",Baterai Original Lenovo IBM Lenovo ThinkPad X220 X220i Series
Cakep nih ga bakal kecewa .. recomend bngt,USB HUB 3.0 7 port by DIGIGEAR HIGH SPEED 1.2 meter
Kualitas barang sesuai deskripsi. harga murah dan pengiriman cepat.,TINTA / CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%
"Produk oke2 aja sih, tapi sepertinya ga bakal panjang umur, baru pake udah ada warning seperti di gambar, penjualnya fast respon, tapi bahasa penjualnya tidak memuaskan, jadi bintang 4 aja ya",Baterai original SONY VAIO VGP-BPS21 VGP-BPS21A VGP-BPS21B VGP-BPS13
Produk baru dan bagus tapi pembukus paket cuma pakai selembar plastik rawan rusak produk barangnya .,CATRIDGE CANON CL 811 ORIGINAL 100%
"Mantap, pengiriman cepet yg datang sesuai, thanks gan",Adaptor Charger HP Mini 210-1000 210-2000 110-1014 110-3014 110-3500
produk sesuai.. bagus &amp; bisa,"Kabel HDMI 3 in 1 M-TECH Hdmi to Hdmi, Mini &amp; Mikro"
"Kualitas bagus, barang sudah di pakai, pengiriman cepat, semoga awet terima kasih.",Kabel VGA Komputer Laptop 1.5m Standard
"barabg sesuai deskripsi, respon seller baik bgt",CATRIDGE CANON CL 57 COLOR ORIGINAL 100%
"mantap,cepet kirimnya kaga bertele""",Crimping Tool RJ45 RJ11 Tang Krimping Tools RJ 45
"Penjual sangat responsif. Tp kualitas barangnya kurang memuaskan, standar lah dgn harganya.",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
Respon cepat.. barang bagus.. mantaaaappppp,Baterai Laptop HP ProBook 430 G1 430 G2 RA04
Barang sudah diterima dengan baik dan benar,Baterai C-mos Panasonic 1220
"brang sudah sampai, terima kasih",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
"Terima Kasih, Barang sudah diterima dengan Baik..",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"Produk bagus, udah kesekian kali belanja disini",TINTA / CATRIDGE BROTHER LC583 BK / C / M / Y ORIGINAL 100% - Merah
thanks gan paket udah nyampe sesuai pesanan,CATRIDGE CANON PG 47 BLACK ORIGINAL 100%
"Barang mantab, respon dan pengiriman sangat cepat. Trims gan",Crimping Tool RJ45 RJ11 Tang Krimping Tools RJ 45
Barang sesuai spek. Ori,SANDISK FLASHDISK 16GB / SANDISK CRUZER SWITCH-EDGE-BLADE 16GB
bagus.mantap.ok.keren.........,Tenda N301 3 in 1 Wireless ROUTER+Access Point+EXTENDER WIFI 301 AP
Alhamdulillah  batre macbookpro saya ga gembung lg,Baterai Original Apple Macbook pro A1322 A1278 -13 inch
Mantapssssssssssssss,"Kabel HDMI 3 in 1 M-TECH Hdmi to Hdmi, Mini &amp; Mikro"
terima kasih barang sudah diterima . sebenrnya udh drtd sampenya cuma mau konfirmasi gk bisa terus karna masih proses ditokpednya...,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"Barang sesuai deskripsi dan gambar, dicoba langsung cussss.....",Tenda AC6 Dual Band AC1200 Mbps GIGABIT Wifi ROUTER EXTENDER Repeater
"Barang sudah sampai gan, persis seperti di foto. Respon penjual juga cepat",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
"Barang sudah di terima dengan baik, semuanya ok!",Kabel LAN UTP 30M RJ45 Cat 5e Cable 30 Meter terpasang konektor cat5e
mantaaaaaaaaaaaaaaaaaaaaaap,LAYAR LCD LED 14.0 Laptop Acer One 14 Z1401 Intel N2840 Z1401-C5S5
Respon cepat dan packing rapi. Thanks,Switch HUB TP LINK 5 Port TL-SF1005D 10/100Mbps Network Lan Internet
Barang dan layanan oke........,HP Ink Cartridge 678 Black / Tinta HP 678 hitam / HP 678 BK Original
"Barang cepat sampai, sesuai pesanan",Crimping Tool RJ45 RJ11 Tang Krimping Tools RJ 45
"barangnya bagus, sampenya cepet, cepet sampenya, bagus barangnya, oh raisa mengapa engkau menikah. semoga kau bahagia. terimakasih",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
Barang mantabs. Sesuai thread.,Baterai Original Lenovo Thinkpad X200 X200s X201 X201i
cepat dan berkualitas,USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
"Sangatttt rekomended bangett,  pedagang pling cepet menurut gw,  pesen kemarin sore. Hari ini udah datang aja,  kalian harus beli disini",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
Pengiriman akurat.......,Tenda F3 Wireless Router+Extender+Access Point WIFI REPEATER NEW FH303
Cakeeeeeeeeeephhhhh .............,"Keyboard Asus A42 A42f A42j A43 A43E A43J A43U K43, K43SJ, K42, X44H"
"Barang sudah sampai, terimakasih",TP-LINK TL-SF1008D : TPLink 8 Port 10/100Mbps Desktop Switch Hub
Baru pake 3minggu ...dah rusak euyy,USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
"Produk sesuai deskripsi, dipaketkan dengan cepat dan baik..",FLASHDISK TOSHIBA 16GB ORIGINAL 100%
"Barang baru nyampai,ka napa ga nyambung interbetnya",KABEL LAN 20 METER NYK CAT 6 / UTP 20 M / LAN 20M
Barang cepat sampai dan bagus...,Headset Gaming Sades T-Power Gaming Headset / Headphone SA-701
Produk oke...lumayan tahan lama,"BATERAI ORIGINAL TOSHIBA NB300, NB301, NB302, NB303, NB305 - Silver"
Thanks bos barang udh sampe dan sesuai,Baterai Toshiba Satellite C640 C645 L635 L640 L645 L735 L745
Pengiriman express belum dicoba,"USB 2.0 Type A to Mini B 5-Pin Cable Data for Canon DSLR/Printer 1,5M"
kiriman sesuai yg diinginkan.,Gamepad Double Mtech/Joystick/Gamepad Double Hitam M-Tech/Pc Laptop
"panjang, cepat sampai, belum di coba , semoga baik baik saja",KABEL LAN 25M CAT 5 / KABEL UTP 25 METER PABRIKAN HIGH QUALITY
Mantaap.. respon cepat baterai fungsi dengan baik.,Baterai original SONY VAIO VGP-BPS21 VGP-BPS21A VGP-BPS21B VGP-BPS13
"Tinta original yang termurah, pengiriman juga cepat",TINTA / CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%
"Respon cepat, packing oke, udah di test dan gk ada masalah, barang mantap",USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY
"respon cepat, barang sudah diterima pd hari yg sama",TINTA / CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%
makasih om barang dah sampai...,Pasta Processor Deep Cool Z5
"Gan barang dah sampe...sorry baru kasih testi...udah di test...tidak mengecewakan...thx ya gan...
Recommended seller..",Kabel HDMI V1.4-20M Jaring &#40;Male HDMI to Male HDMI&#41;
"berfungsi dengan baik, semoga awet",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
"Kok produknya ada yang retak bang 
Bagian L1 nya bang trims",Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
ini jg josssss bangetttt,Mouse Gaming Logitech G102 Gaming Mouse Prodigy &#40;AURA/RGB&#41;
Sdh sy coba... Tp daya tangkapnya biasa saja... Mengangkap wifi dg jarak kurang lebih 150 meter hanya dapat 2 batang signal,Tenda Outdoor cpe 03 &#40;O3&#41; 5km point to point cpe
fast response.. recommended seller.,TP-LINK TL-WR 840N 300MBps Wireless Router
"Barang nya sudah sampai, Fast respon tks gan",Konektor RJ45 AMP / Connector RJ 45 AMP Per Pack Isi 50pcs
terima kasihh..............................,Gamepad single Usb M-Tech/stick laptop/stick pc/joystick
"Blum sempat test, semoga normal","Keyboard Laptop ASUS X453, X453M, X453MA, X453S, X453SA"
"Barang sudah diterima, terimakasih",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
Fastest response everrrr,TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
"pesen kemaren besoknya datang, stick berfungsi dengan baik well done, tak ada kerusakan sama sekali, kurir ramah, pokoknya THE BEST lah thank you gan :)",joystick / gamepad / stick laptop notebook pc single analog usb
"Respon cepat, pengiriman cepat.",Tenda AC6 Dual Band AC1200 Mbps GIGABIT Wifi ROUTER EXTENDER Repeater
"Udah 3x pesan disini,Alhamdulillah selalu puas dengan kualitas barangny,penjualnya dan pengirimanny",TINTA / CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%
